Date	Time	Temperature	Pressure	Rain	solar_rad	wind_speed
02/01/2021	02:15	-5	1007.7	0	0	0
02/01/2021	02:30	-5.1	1007.8	0	0	0
02/01/2021	02:45	-5	1007.6	0	0	0
02/01/2021	03:00	-4.9	1007.5	0	0	0
02/01/2021	03:15	-4.9	1007.4	0	0	0
02/01/2021	03:30	-4.8	1007.3	0	0	0
02/01/2021	03:45	-4.7	1007.2	0	0	0
02/01/2021	04:00	-4.5	1007.1	0	0	0
02/01/2021	04:15	-4.2	1006.9	0	0	0
02/01/2021	04:30	-4.2	1006.9	0	0	0
02/01/2021	04:45	-4.2	1006.6	0	0	0
02/01/2021	05:00	-4.1	1006.6	0	0	0
02/01/2021	05:15	-4.1	1006.6	0	0	0
02/01/2021	05:30	-3.9	1006.4	0	0	0
02/01/2021	05:45	-3.9	1006.2	0	0	0
02/01/2021	06:00	-3.9	1006.3	0	0	0
02/01/2021	06:15	-3.9	1006	0	0	0
02/01/2021	06:30	-4	1006	0	0	0
02/01/2021	21:00	-3.2	1006.7	0	0	0
02/01/2021	21:15	-3.4	1006.8	0	0	0
02/01/2021	21:30	-3.6	1006.8	0	0	0
02/01/2021	21:45	-3.8	1006.7	0	0	0
02/01/2021	22:00	-4.1	1006.9	0	0	0
02/01/2021	22:15	-4.3	1006.9	0	0	0
02/01/2021	22:30	-4.3	1006.9	0	0	0
02/01/2021	22:45	-4.6	1006.9	0	0	0
02/01/2021	23:00	-4.5	1007	0	0	0
02/01/2021	23:15	-4.7	1007	0	0	0
02/01/2021	23:30	-4.9	1007.2	0	0	0
02/01/2021	23:45	-5.2	1007.3	0	0	0
03/01/2021	00:00	-5.3	1007.4	0	0	0
03/01/2021	00:15	-5.7	1007.4	0	0	0
03/01/2021	00:30	-5.9	1007.4	0	0	0
03/01/2021	00:45	-6.2	1007.6	0	0	0
03/01/2021	01:00	-6.1	1007.7	0	0	0
03/01/2021	01:15	-6.4	1007.6	0	0	0
03/01/2021	01:30	-6.6	1007.6	0	0	0
03/01/2021	01:45	-6.6	1007.6	0	0	0
03/01/2021	02:00	-6.7	1007.3	0	0	0
03/01/2021	02:15	-6.8	1007.5	0	0	0
03/01/2021	02:30	-6.9	1007.5	0	0	0
03/01/2021	02:45	-7.1	1007.6	0	0	0
03/01/2021	03:00	-7.1	1007.6	0	0	0
03/01/2021	03:15	-7.1	1007.7	0	0	0
03/01/2021	03:30	-7.2	1007.7	0	0	0
03/01/2021	03:45	-7.1	1007.8	0	0	0
03/01/2021	04:00	-7.1	1007.6	0	0	0
03/01/2021	04:15	-6.9	1007.6	0	0	0
03/01/2021	04:30	-6.4	1007.7	0	0	0
03/01/2021	04:45	-6.2	1007.7	0	0	0
03/01/2021	05:00	-5.9	1007.6	0	0	0
03/01/2021	05:15	-6.2	1007.8	0	0	0
03/01/2021	05:30	-6.5	1007.8	0	0	0
03/01/2021	05:45	-6.5	1007.9	0	0	0
03/01/2021	06:00	-6.6	1008	0	0	0
03/01/2021	06:15	-6.7	1008.1	0	0	0
03/01/2021	06:30	-6.7	1008.2	0	0	0
03/01/2021	06:45	-6.8	1008.4	0	0	0
03/01/2021	07:00	-6.8	1008.5	0	0	0
03/01/2021	07:15	-6.7	1008.7	0	0	0
03/01/2021	07:30	-6.6	1008.9	0	0	0
03/01/2021	07:45	-6.4	1009.1	0	0	0
03/01/2021	08:00	-6.2	1009.2	0	0	0
03/01/2021	08:15	-6.3	1009.2	0	0	0
03/01/2021	08:30	-6.1	1009.3	0	7	0
03/01/2021	08:45	-5.9	1009.5	0	17	0
03/01/2021	09:00	-5.6	1009.8	0	24	0
03/01/2021	09:15	-5.1	1009.9	0	26	0
03/01/2021	09:30	-4.9	1010	0	23	0
03/01/2021	09:45	-4.6	1010.2	0	33	0
03/01/2021	10:00	-4.1	1010.1	0	46	0
03/01/2021	10:15	-3.6	1010.2	0	68	0
03/01/2021	10:30	-2.9	1010.2	0	59	0
03/01/2021	10:45	-2.6	1010.4	0	31	0
03/01/2021	11:00	-2.2	1010.3	0	63	0
03/01/2021	11:15	-1.1	1010.2	0	92	0
03/01/2021	11:30	-0.8	1010.1	0	67	0
03/01/2021	11:45	-0.3	1009.9	0	78	0
03/01/2021	12:00	0.4	1009.8	0	90	0
03/01/2021	12:15	-0.1	1010	0	84	0
03/01/2021	12:30	0.1	1009.9	0.2	81	1.6
03/01/2021	12:45	0.2	1009.7	0	72	1.6
03/01/2021	13:00	0.5	1009.6	0	77	0
03/01/2021	13:15	0.9	1009.5	0	52	1.6
03/01/2021	13:30	1.2	1009.6	0	38	1.6
03/01/2021	13:45	1.6	1009.4	0	58	1.6
03/01/2021	14:00	2.4	1009.4	0	31	1.6
03/01/2021	14:15	3.4	1009.6	0	26	4.8
03/01/2021	14:30	3.5	1009.5	0	26	4.8
03/01/2021	14:45	3.3	1009.7	0	30	1.6
03/01/2021	15:00	3.3	1009.7	0	25	1.6
03/01/2021	15:15	3.3	1009.8	0	20	1.6
03/01/2021	15:30	2.9	1009.8	0	16	0
03/01/2021	15:45	2.3	1010	0	14	0
03/01/2021	16:00	1.4	1010.2	0	15	0
03/01/2021	16:15	0.7	1010.5	0	16	0
03/01/2021	16:30	0	1010.6	0	12	0
03/01/2021	16:45	-0.7	1010.6	0	8	0
